.2500000000,0,0,0,0,0,0,0,0,0,0,0,0,0,.2500000000,.2500000000,.2500000000
.2083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,.2916666667,.2083333333,.2916666667
.1718750000,0,0,0,0,0,0,0,0,0,0,0,.5208333332e-2,.5208333332e-2,.3229166667,.1718750000,.3229166667
.1406250000,0,0,0,0,0,0,0,0,0,0,0,.1562500000e-1,.1562500000e-1,.3437500000,.1406250000,.3437500000
.2916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,.2083333333,.2083333333,.2916666667
.2430555556,0,0,0,0,0,0,0,0,0,0,0,0,0,.2430555556,.1604379376,.3534509514
.2021674800,0,0,0,0,0,0,0,0,0,0,0,.7723035577e-2,.5986924465e-2,.2592173421,.1251160531,.3997891648
.1677674552,0,0,0,0,0,0,0,0,0,0,0,.2193412172e-1,.1425581835e-1,.2642286031,.9866272475e-1,.4331512770
.3229166667,.5208333332e-2,.5208333332e-2,0,0,0,0,0,0,0,0,0,0,0,.1718750000,.1718750000,.3229166667
.2592173421,.5986924465e-2,.7723035577e-2,0,0,0,0,0,0,0,0,0,0,0,.2021674800,.1251160531,.3997891648
.2092246190,.4872902589e-2,.8830035365e-2,.676600795e-4,.1007424021e-2,.1998822795e-4,.5823652460e-3,.940744894e-4,.5823652460e-3,.1998822795e-4,.1007424021e-2,.676600795e-4,.8830035365e-2,.4872902590e-2,.2092246190,.9286882760e-1,.4578271089
.1699693696,.3842436324e-2,.9625506007e-2,.879912502e-4,.1485641922e-2,.719893495e-4,.1049453201e-2,.1532462853e-3,.7692883585e-3,.2881609695e-5,.2806326724e-2,.2913016783e-3,.2276465527e-1,.1057867641e-1,.2078180161,.7061830521e-1,.4980649146
.3437500000,.1562500000e-1,.1562500000e-1,0,0,0,0,0,0,0,0,0,0,0,.1406250000,.1406250000,.3437500000
.2642286031,.1425581835e-1,.2193412172e-1,0,0,0,0,0,0,0,0,0,0,0,.1677674552,.9866272475e-1,.4331512770
.2078180161,.1057867641e-1,.2276465526e-1,.2913016783e-3,.2806326724e-2,.2881609685e-5,.7692883585e-3,.1532462853e-3,.1049453201e-2,.719893494e-4,.1485641922e-2,.879912502e-4,.9625506007e-2,.3842436324e-2,.1699693696,.7061830521e-1,.4980649146
.1638657450,.7622997170e-2,.2256268064e-1,.432202418e-3,.5029016737e-2,.1235813846e-3,.2492501278e-2,.2843682837e-3,.2492501279e-2,.1235813846e-3,.5029016737e-2,.432202418e-3,.2256268064e-1,.7622997170e-2,.1638657450,.5165503895e-1,.5438031438
.3437500000,.1562500000e-1,.1562500000e-1,0,0,0,0,0,0,0,0,0,0,0,.1406250000,.1406250000,.3437500000
.2642286031,.1425581835e-1,.2193412172e-1,0,0,0,0,0,0,0,0,0,0,0,.1677674552,.9866272475e-1,.4331512770
.2078180161,.1057867641e-1,.2276465526e-1,.2913016783e-3,.2806326724e-2,.2881609685e-5,.7692883585e-3,.1532462853e-3,.1049453201e-2,.719893494e-4,.1485641922e-2,.879912502e-4,.9625506007e-2,.3842436324e-2,.1699693696,.7061830521e-1,.4980649146
.1638657450,.7622997170e-2,.2256268064e-1,.432202418e-3,.5029016737e-2,.1235813846e-3,.2492501278e-2,.2843682837e-3,.2492501279e-2,.1235813846e-3,.5029016737e-2,.432202418e-3,.2256268064e-1,.7622997170e-2,.1638657450,.5165503895e-1,.5438031438
.3645833333,.2604166668e-1,.2604166668e-1,0,0,0,0,0,0,0,0,0,0,0,.1093750000,.1093750000,.3645833333
