0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0.25,0.25,0,0
0,0,0,0,0,0,0,0,0,0.41667,0.083333,0,0,0,0.41667,0.083333,0,0
0,0,0,0,0,0,0,0,0.083333,0.41667,0,0,0,0.083333,0.41667,0,0,0
0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0.25,0.25,0,0,0
0,0,0,0,0,0,0,0,0,0.41667,0.41667,0,0,0,0.083333,0.083333,0,0
0,0,0,0,0,0,0,0,0,0.7037,0.12963,0,0,0,0.14815,0.018519,0,0
0,0,0,0,0,0,0,0,0.14815,0.68519,0,0,0,0.037037,0.12963,0,0,0
0,0,0,0,0,0,0,0,0.41667,0.41667,0,0,0,0.083333,0.083333,0,0,0
-0.0005787,-0.0007073,0.0012217,6.43e-05,0.011767,0.11555,0.040316,-0.00096451,-0.024434,0.4845,0.36265,0.0057227,0.0048868,0,0.0086806,-0.007716,-0.00096451,0
-0.0007716,-0.0007716,0.0015432,0,0.020833,0.13194,0.013889,0,0,0.70602,0.12731,0,0,0,0.011574,-0.011574,0,0
0,0,0,0,0.027778,0.13889,0,0,0.17593,0.65741,0,0,0,0,0,0,0,0
0,0,0,0,0.083333,0.083333,0,0,0.41667,0.41667,0,0,0,0,0,0,0,0
-0.0017361,-0.0021219,0.0036651,0.0001929,0.031443,0.3505,0.12018,-0.0021219,-0.015432,0.29147,0.21759,0.0032793,0.0030864,0,0.0052083,-0.0046296,-0.0005787,0
-0.0023148,-0.0023148,0.0046296,0,0.0625,0.39583,0.041667,0,0,0.42361,0.076389,0,0,0,0.0069444,-0.0069444,0,0
0,0,0,0,0.11111,0.38889,0,0,0.11111,0.38889,0,0,0,0,0,0,0,0
0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0,0
-0.0017361,-0.0021219,0.0036651,0.0001929,0.031443,0.3505,0.12018,-0.0021219,-0.015432,0.29147,0.21759,0.0032793,0.0030864,0,0.0052083,-0.0046296,-0.0005787,0
-0.0023148,-0.0023148,0.0046296,0,0.0625,0.39583,0.041667,0,0,0.42361,0.076389,0,0,0,0.0069444,-0.0069444,0,0
0,0,0,0,0.11111,0.38889,0,0,0.11111,0.38889,0,0,0,0,0,0,0,0
0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0,0
-0.0028935,-0.0035365,0.0061085,0.0003215,0.051119,0.58546,0.20004,-0.0032793,-0.00643,0.098444,0.072531,0.00083591,0.001286,0,0.0017361,-0.0015432,-0.0001929,0
-0.003858,-0.003858,0.007716,0,0.10417,0.65972,0.069444,0,0,0.1412,0.025463,0,0,0,0.0023148,-0.0023148,0,0
0,0,0,0,0.19444,0.63889,0,0,0.046296,0.12037,0,0,0,0,0,0,0,0
0,0,0,0,0.41667,0.41667,0,0,0.083333,0.083333,0,0,0,0,0,0,0,0
0.0092593,0.12037,0.037037,0,0.046296,0.60185,0.18519,0,0,0,0,0,0,0,0,0,0,0
0.018519,0.12963,0.018519,0,0.10494,0.66049,0.067901,0,0,0,0,0,0,0,0,0,0,0
0.037037,0.12963,0,0,0.22222,0.61111,0,0,0,0,0,0,0,0,0,0,0,0
0.083333,0.083333,0,0,0.41667,0.41667,0,0,0,0,0,0,0,0,0,0,0,0
0.027778,0.36111,0.11111,0,0.027778,0.36111,0.11111,0,0,0,0,0,0,0,0,0,0,0
0.064815,0.39815,0.037037,0,0.064815,0.39815,0.037037,0,0,0,0,0,0,0,0,0,0,0
0.13889,0.36111,0,0,0.13889,0.36111,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0625,0.375,0.0625,0,0,0.0625,0.375,0.0625,0
0,0,0,0,0,0,0,0,0,0.10417,0.375,0.020833,0,0,0.10417,0.375,0.020833,0
0,0,0,0,0,0,0,0,0,0.16667,0.33333,0,0,0,0.16667,0.33333,0,0
0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0.25,0.25,0,0
0,0,0,0,0,0,0,0,0,0.10417,0.625,0.10417,0,0,0.020833,0.125,0.020833,0
0,0,0,0,0,0,0,0,0,0.1713,0.625,0.037037,0,0,0.032407,0.125,0.0092593,0
0,0,0,0,0,0,0,0,0,0.27315,0.56019,0,0,0,0.050926,0.11574,0,0
