.2500000000,.2500000000,.2500000000,.2500000000,0,0,0,0,0,0,0,0
.8333333333e-1,.8333333333e-1,.4166666667,.4166666667,0,0,0,0,0,0,0,0
0,0,.4166666667,.4166666667,0,0,0,0,0,.8333333333e-1,0,.8333333333e-1
0,0,.2500000000,.2500000000,0,0,0,0,0,.2500000000,0,.2500000000
.8333333333e-1,.4166666667,.8333333333e-1,.4166666667,0,0,0,0,0,0,0,0
.6481481481e-1,.1388888889,.1388888889,.6574074074,0,0,0,0,0,0,0,0
0,0,.2314814815,.6388888889,0,0,0,0,0,.9259259259e-2,0,.1203703704
0,0,.1388888889,.3611111111,0,0,0,0,0,.1388888889,0,.3611111111
0,.4166666667,0,.4166666667,0,0,.8333333333e-1,.8333333333e-1,0,0,0,0
0,.2314814815,0,.6388888889,0,0,.9259259259e-2,.1203703704,0,0,0,0
-.3302392550e-1,.9168121803e-1,.9168121803e-1,.6234567901,-.9129062893e-2,.1223079987e-1,-.1345617743e-1,.1234567901,-.9129062893e-2,-.1345617743e-1,.1223079981e-1,.1234567909
-.1580737065e-1,.3896700671e-1,.6405661244e-1,.3703703704,-.6846797169e-2,-.4595165885e-3,-.4595165885e-3,.9259259259e-1,-.1580737065e-1,.6405661244e-1,.3896700672e-1,.3703703701
0,.2500000000,0,.2500000000,0,0,.2500000000,.2500000000,0,0,0,0
0,.1388888889,0,.3611111111,0,0,.1388888889,.3611111111,0,0,0,0
-.1580737065e-1,.6405661244e-1,.3896700671e-1,.3703703704,-.1580737065e-1,.3896700671e-1,.6405661244e-1,.3703703704,-.6846797169e-2,-.4595165885e-3,-.4595165881e-3,.9259259258e-1
-.1282051282e-1,.3418803419e-1,.3418803419e-1,.2777777778,-.1282051282e-1,.3418803419e-1,.3418803419e-1,.2777777778,-.1282051282e-1,.3418803419e-1,.3418803419e-1,.2777777776
0,0,0,0,.2500000000,.2500000000,.2500000000,.2500000000,0,0,0,0
0,0,0,0,.8333333333e-1,.8333333333e-1,.4166666667,.4166666667,0,0,0,0
0,.8333333333e-1,0,.8333333333e-1,0,0,.4166666667,.4166666667,0,0,0,0
0,.2500000000,0,.2500000000,0,0,.2500000000,.2500000000,0,0,0,0
0,0,0,0,.8333333333e-1,.4166666667,.8333333333e-1,.4166666667,0,0,0,0
0,0,0,0,.6481481481e-1,.1388888889,.1388888889,.6574074074,0,0,0,0
0,.9259259259e-2,0,.1203703704,0,0,.2314814815,.6388888889,0,0,0,0
0,.1388888889,0,.3611111111,0,0,.1388888889,.3611111111,0,0,0,0
0,0,0,0,0,.4166666667,0,.4166666667,0,0,.8333333333e-1,.8333333333e-1
0,0,0,0,0,.2314814815,0,.6388888889,0,0,.9259259259e-2,.1203703704
-.9129062893e-2,-.1345617743e-1,.1223079987e-1,.1234567901,-.3302392550e-1,.9168121803e-1,.9168121803e-1,.6234567901,-.9129062893e-2,.1223079987e-1,-.1345617741e-1,.1234567902
-.1580737065e-1,.6405661244e-1,.3896700671e-1,.3703703704,-.1580737065e-1,.3896700671e-1,.6405661244e-1,.3703703704,-.6846797169e-2,-.4595165885e-3,-.4595165885e-3,.9259259251e-1
0,0,0,0,0,.2500000000,0,.2500000000,0,0,.2500000000,.2500000000
0,0,0,0,0,.1388888889,0,.3611111111,0,0,.1388888889,.3611111111
-.6846797169e-2,-.4595165885e-3,-.4595165885e-3,.9259259259e-1,-.1580737065e-1,.6405661244e-1,.3896700671e-1,.3703703704,-.1580737065e-1,.3896700671e-1,.6405661244e-1,.3703703702
-.1282051282e-1,.3418803419e-1,.3418803419e-1,.2777777778,-.1282051282e-1,.3418803419e-1,.3418803419e-1,.2777777778,-.1282051282e-1,.3418803419e-1,.3418803419e-1,.2777777778
0,0,0,0,0,0,0,0,.2500000000,.2500000000,.2500000000,.2500000000
0,0,0,0,0,0,0,0,.8333333333e-1,.8333333333e-1,.4166666667,.4166666667
0,0,0,0,0,.8333333333e-1,0,.8333333333e-1,0,0,.4166666667,.4166666667
0,0,0,0,0,.2500000000,0,.2500000000,0,0,.2500000000,.2500000000
0,0,0,0,0,0,0,0,.8333333333e-1,.4166666667,.8333333333e-1,.4166666667
0,0,0,0,0,0,0,0,.6481481481e-1,.1388888889,.1388888889,.6574074074
0,0,0,0,0,.9259259259e-2,0,.1203703704,0,0,.2314814815,.6388888889
0,0,0,0,0,.1388888889,0,.3611111111,0,0,.1388888889,.3611111111
0,0,.8333333333e-1,.8333333333e-1,0,0,0,0,0,.4166666667,0,.4166666667
0,0,.9259259259e-2,.1203703704,0,0,0,0,0,.2314814815,0,.6388888889
-.9129062893e-2,.1223079987e-1,-.1345617743e-1,.1234567901,-.9129062893e-2,-.1345617743e-1,.1223079987e-1,.1234567901,-.3302392550e-1,.9168121803e-1,.9168121803e-1,.6234567901
-.6846797169e-2,-.4595165885e-3,-.4595165885e-3,.9259259259e-1,-.1580737065e-1,.6405661244e-1,.3896700671e-1,.3703703704,-.1580737065e-1,.3896700671e-1,.6405661244e-1,.3703703704
0,0,.2500000000,.2500000000,0,0,0,0,0,.2500000000,0,.2500000000
0,0,.1388888889,.3611111111,0,0,0,0,0,.1388888889,0,.3611111111
-.1580737065e-1,.3896700671e-1,.6405661244e-1,.3703703704,-.6846797169e-2,-.4595165885e-3,-.4595165885e-3,.9259259259e-1,-.1580737065e-1,.6405661244e-1,.3896700671e-1,.3703703704
-.1282051282e-1,.3418803419e-1,.3418803419e-1,.2777777778,-.1282051282e-1,.3418803419e-1,.3418803419e-1,.2777777778,-.1282051282e-1,.3418803419e-1,.3418803419e-1,.2777777778
